os,quote_id,quote_item_id,tipo,descripcion,qty,precio_u,repuesto_id,repuesto_codigo,costo_u_neto
28784,8437,3613,repuesto,Placa,1.00,37192.50,9141,1502011,27740.00
28784,8437,3614,mano_obra,Mano de obra,1.00,22962.00,,,
28790,8451,3629,repuesto,Cable kit,1.00,100201.00,,,
28816,,,,,,,,,
28871,8470,3643,mano_obra,Mano de obra,1.00,28105.00,,,
28875,8488,3651,repuesto,Ceolitas,1.00,195750.00,,,
28875,8488,3652,repuesto,Electroválvulas,1.00,20000.00,,,
28875,8488,3653,repuesto,PLACA PRINCIPAL AIRSEP,1.00,67000.00,9142,1502012,29200.00
28893,8498,3920,repuesto,Turbina G2s C2+ para CPAP/Auto CPAP BMC,1.00,299592.00,447,1501002,221920.00
28898,8518,3683,repuesto,BATERÍA GEL 6V 4AH,2.00,58725.00,2185,ME-041,9490.00
28898,8518,3684,mano_obra,Mano de obra,1.00,18588.00,,,
28910,8507,3667,repuesto,BATERÍA GEL 6V 4AH,2.00,58725.00,2185,ME-041,9490.00
28910,8507,3668,repuesto,Vacuómetro diámetro 52MM Fij. Frontal,1.00,52852.50,2194,IN-001,39420.00
28910,8507,3669,mano_obra,Mano de obra,1.00,18588.00,,,
28915,8501,3658,repuesto,BATERÍA GEL 6V 4AH,2.00,58725.00,2185,ME-041,9490.00
28915,8501,3659,repuesto,Vacuómetro diámetro 52MM Fij. Frontal,1.00,52852.50,2194,IN-001,39420.00
28915,8501,3660,repuesto,diagnostico prioritario,1.00,30000.00,,,
