"codigo","nombre","apariciones_en_os","os_distintas","os_lista"
"IN-001","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"PS-034","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"SC-110","","5","5","28896 | 28898 | 28909 | 28910 | 28918"
"IN002","Vacuómetro diametro 50mm p/aspirador SILFAB","4","4","28788 | 28911 | 28915 | 28921"
"1208036","FILTRO CONCENTRADOR EVERFLOW GENÉRICO","3","3","28785 | 28789 | 28906"
"1504008","RECAMBIO CEOLITA AIRSEP (PAR)","3","3","28867 | 28876 | 28899"
"1504010","Canister ceolita EVERFLO + Válvula","3","3","28789 | 28864 | 28906"
"FI-002","","3","3","28785 | 28789 | 28906"
"1504004","CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR)","2","2","28864 | 28922"
"1504006","CANISTER CEOLITA LONGFIAN JAY-10","2","2","28864 | 28922"
"1208012","Filtro de aire externo AIRSEP NEW LIFE","1","1","28867"
"1501004","Turbina para BPAP BMC G3 M3+","1","1","28792"
"1501006","TURBINA NP1-TKD PARA G1","1","1","28792"
"1502016","PLACA INOGEN G4","1","1","28784"
"1504005","Canister zeolita LONGFIAN JAY-5AW","1","1","28922"
"1505003","COOLER  KONSUNG","1","1","28876"
"1505004","COOLER LONGFIAN JAY","1","1","28876"
"1519001","ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10","1","1","28875"
"1519004","VÁLVULA PILOT EVERFLO","1","1","28785"
"1519006","ELECTROVÁLVULA LONGFIAN JAY-5Q","1","1","28875"
"ME-043","","1","1","28918"
"MP-013","","1","1","28784"
"PK001","Pack baterías NI-CD 6X1800 mA","1","1","28898"
"R11391","Turbina (eje 5mm) PC-307","1","1","28792"
"SC-104","","1","1","28875"
"SC-111","","1","1","28918"
"SP507","FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO)","1","1","28867"
"SP700","Placa base G4","1","1","28784"
