"codigo","nombre","costo_neto_catalogo","precio_venta_catalogo","apariciones_en_os","os_distintas","os_lista"
"IN-001","Vacuómetro diámetro 52MM Fij. Frontal","39285.00","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"PS-034","CONECTOR  BCE. VACUOMETRO 3/8"" NF","0.00","","7","7","28788 | 28896 | 28909 | 28910 | 28911 | 28915 | 28921"
"SC-110","CABLEADO BATERIAS","0.00","","5","5","28896 | 28898 | 28909 | 28910 | 28918"
"IN002","Vacuómetro diametro 50mm p/aspirador SILFAB","29100.00","","4","4","28788 | 28911 | 28915 | 28921"
"1208036","FILTRO CONCENTRADOR EVERFLOW GENÉRICO","4365.00","","3","3","28785 | 28789 | 28906"
"1504008","RECAMBIO CEOLITA AIRSEP (PAR)","145500.00","198450.00","3","3","28867 | 28876 | 28899"
"1504010","Canister ceolita EVERFLO + Válvula","0.00","","3","3","28789 | 28864 | 28906"
"FI-002","FILTRO CONCENTRADOR EVERFLOW ORIGINAL","58927.50","71442.00","3","3","28785 | 28789 | 28906"
"1504004","CANISTER CEOLITA LONGFIAN JAY-5 (EL PAR)","130950.00","178605.00","2","2","28864 | 28922"
"1504006","CANISTER CEOLITA LONGFIAN JAY-10","240075.00","327442.50","2","2","28864 | 28922"
"1208012","Filtro de aire externo AIRSEP NEW LIFE","4365.00","5292.00","1","1","28867"
"1501004","Turbina para BPAP BMC G3 M3+","291000.00","441000.00","1","1","28792"
"1501006","TURBINA NP1-TKD PARA G1","0.00","","1","1","28792"
"1502016","PLACA INOGEN G4","0.00","","1","1","28784"
"1504005","Canister zeolita LONGFIAN JAY-5AW","0.00","","1","1","28922"
"1505003","COOLER  KONSUNG","0.00","","1","1","28876"
"1505004","COOLER LONGFIAN JAY","0.00","","1","1","28876"
"1519001","ELECTROVÁLVULA LONGFIAN JAY-5/JAY-10","0.00","","1","1","28875"
"1519004","VÁLVULA PILOT EVERFLO","0.00","","1","1","28785"
"1519006","ELECTROVÁLVULA LONGFIAN JAY-5Q","0.00","","1","1","28875"
"ME-043","CABLE DOBLE8","2910.00","10290.00","1","1","28918"
"MP-013","PLACA DE CONTROL","58200.00","","1","1","28784"
"PK001","Pack baterías NI-CD 6X1800 mA","0.00","","1","1","28898"
"R11391","Turbina (eje 5mm) PC-307","58200.00","","1","1","28792"
"SC-104","PLACA PRINCIPAL BPAP 30T","242504.85","367500.00","1","1","28875"
"SC-111","CABLEADO MOTOR","0.00","","1","1","28918"
"SP507","FILTRO PART.MEDIAS CONC.REPIRONICS MILLENIUM (EXTERNO)","2619.00","3175.20","1","1","28867"
"SP700","Placa base G4","203000.00","304500.00","1","1","28784"
