"os","fecha_entrega","cliente","tipo_equipo","marca","modelo","variante","numero_serie","numero_interno","presupuesto_items_cant"
"28472","2025-12-01 11:32:00","OXIGENOTERAPIA LOMAS S.A","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","","MZJ5S121218","","2"
"28563","2025-12-01 12:57:00","OXICASTHOMECARE","CONCENTRADOR DE OXÍGENO","AirSep","NewLife Elite","5L","N5154106","","1"
"28615","2025-12-01 14:38:13","SIED","AUTO CPAP","BMC","AUTO CPAP G2S","G2S","ES423701062","","2"
"28761","2025-12-03 15:48:00","RESPIROXS","POLÍGRAFO","BMC","PolyWatch YH-600B","PRO","S2D16C01027","","1"
"28694","2025-12-04 14:34:02","SICOMED","ASPIRADOR QUIRÚRGICO","Yuwell","7A-23B","","200810301","","1"
"28777","2025-12-04 17:30:52","RESPIFLOW","ASPIRADOR","Movi-vac","A-500","","C9-1449","","1"
"26362","2025-12-05 00:00:00","TMD","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","MZJ5S318574","","1"
"28772","2025-12-05 15:46:06","MECATRONIX","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","a8-0466","","1"
"28773","2025-12-05 15:46:42","MECATRONIX","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","B6-0837","","1"
"28673","2025-12-09 06:14:00","TMD","CONCENTRADOR DE OXÍGENO","Konsung","KSOC-5","","MA23031000020","","1"
"28670","2025-12-09 06:15:00","TMD","CONCENTRADOR DE OXÍGENO","Konsung","KSOC-5","","MA23031000042","","1"
"28672","2025-12-09 06:16:00","TMD","CONCENTRADOR DE OXÍGENO","Konsung","KSOC-5","","MA23031000112","","1"
"28667","2025-12-09 09:11:00","TMD","CONCENTRADOR DE OXÍGENO","Konsung","KSOC-5","","MA23031000019","","1"
"28638","2025-12-09 12:30:00","TMD","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","B9-0973","","2"
"28676","2025-12-09 15:29:00","TMD","CONCENTRADOR DE OXÍGENO","Konsung","KSOC-5","","MC22040040016","","2"
"28790","2025-12-09 16:34:11","DIAGNOSTIC MEDIC","POLÍGRAFO","BMC","PolyWatch YH-600B","PRO","S2224D611008","","1"
"28710","2025-12-09 16:35:42","DIAGNOSTIC MEDIC","CPAP","BMC","CPAP G2","E-20C-H-O","E2123205040","","1"
"28711","2025-12-09 16:36:20","DIAGNOSTIC MEDIC","AUTO CPAP","BMC","AUTO CPAP G2S","G2S","ES422A62036","","1"
"28753","2025-12-09 16:37:08","DIAGNOSTIC MEDIC","CPAP","Yamind","DM26","20C","Y662124170014","","0"
"28707","2025-12-09 16:37:27","DIAGNOSTIC MEDIC","CPAP","BMC","CPAP G2","E-20C-H-O","E2321302204","","0"
"28716","2025-12-10 08:00:00","NOVAMED S.A.","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","","MZJ5S121652","","1"
"28766","2025-12-10 08:01:00","NOVAMED S.A.","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","","MZJ5S121969","","1"
"28709","2025-12-10 12:36:00","DIAGNOSTIC MEDIC","CPAP","BMC","CPAP G2","E-20C-H-O","E2321302273","","0"
"28757","2025-12-11 12:30:00","SOENSA","AUTO CPAP","BMC","MINI M1","","M1A22705050","","2"
"28603","2025-12-12 12:28:00","ARGENTINA DE GASES S.A.","ASPIRADOR A BATERÍAS","Konsung","9E","","24040060084","","1"
"28781","2025-12-15 10:40:00","ACUDIR","ASPIRADOR A BATERÍAS","Fiorino","7E-D","","00058","","1"
"28782","2025-12-15 10:40:00","ACUDIR","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","A8-0483","","2"
"28862","2025-12-18 07:06:00","OXICASTHOMECARE","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","MZJ5S79790","","1"
"28705","2025-12-19 07:01:00","SIED","CONCENTRADOR DE OXÍGENO","Philips Respironics","EVERFLO","","0012047","","1"
"28788","2025-12-19 07:01:00","SIED","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","B5-0769","","2"
"28499","2025-12-19 09:59:20","SIED","CONCENTRADOR DE OXÍGENO","AirSep","NewLife Elite","5L","V9904","","1"
"28500","2025-12-19 09:59:56","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","","MZJ5S169962","","2"
"28613","2025-12-19 10:03:00","SIED","BOMBA DE ALIMENTACIÓN","Kangaroo","224","","T0123720","","1"
"28612","2025-12-19 10:03:18","SIED","BOMBA DE INFUSIÓN","Kangaroo","324","","T9321438","","2"
"28704","2025-12-19 10:04:18","SIED","CONCENTRADOR DE OXÍGENO","AirSep","NewLife Elite","5L","n5157553","","2"
"28784","2025-12-19 10:04:35","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5","","MZJ5S121153","","2"
"28783","2025-12-19 10:04:50","SIED","CONCENTRADOR DE OXÍGENO","Longfian","JAY-5Q","","SIED012024219","","1"
"28706","2025-12-19 10:05:04","SIED","CONCENTRADOR DE OXÍGENO","Philips Respironics","EVERFLO","","0009498","","1"
"28617","2025-12-19 10:05:19","SIED","CONCENTRADOR DE OXÍGENO","Philips Respironics","EVERFLO","","0011104","","1"
"28616","2025-12-19 10:05:32","SIED","CONCENTRADOR DE OXÍGENO","Philips Respironics","EVERFLO","","0005471","","1"
"28178","2025-12-23 00:00:00","PRAXAIR ARG.","DESFIBRILADOR","Mindray","C1A","","AF3-29016147","","2"
"28874","2025-12-24 08:03:00","AVIL SALUD SRL","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","C8-1371","","1"
"28871","2025-12-30 13:47:00","SOENSA","ASPIRADOR A BATERÍAS","Movi-vac","A-550","","A4-0281","","1"
"28918","2025-12-31 11:38:00","RUSSO PABLO MATIAS","POLÍGRAFO","BMC","PolyWatch YH-600B","PRO","S222D804029","","3"
